STREAM,REACH,DATE,YEAR,MONTH,DAY,NO_LIVE,NO_DEAD,TEMP_C,COMMENTS
MISSION,E,18/09/2016,2016,9,18,881,610,11,HIGH WATER POOR VIS
MISSION,E,19/09/2016,2016,9,19,845,618,NA,NA
MISSION,E,20/09/2016,2016,9,20,704,490,10,NA
MISSION,E,21/09/2016,2016,9,21,694,592,NA,NA
MISSION,E,22/09/2016,2016,9,22,448,556,9.5,NA
MISSION,E,23/09/2016,2016,9,23,510,295,NA,NA
MISSION,E,24/09/2016,2016,9,24,460,298,9,NA
MISSION,E,25/09/2016,2016,9,25,394,246,NA,NA
MISSION,E,26/09/2016,2016,9,26,390,206,9,NA
MISSION,E,27/09/2016,2016,9,27,314,140,NA,NA
MISSION,E,28/09/2016,2016,9,28,246,135,9,NA
MISSION,E,29/09/2016,2016,9,29,218,112,NA,NA
MISSION,E,30/09/2016,2016,9,30,147,136,NA,NA
MISSION,E,01/10/2016,2016,10,1,106,94,NA,NA
MISSION,E,02/10/2016,2016,10,2,64,90,NA,NA
MISSION,E,01/09/2018,2018,9,1,2,0,NA,NA
MISSION,E,02/09/2018,2018,9,2,5,1,NA,NA
MISSION,E,03/09/2018,2018,9,3,13,1,NA,NA
MISSION,E,04/09/2018,2018,9,4,48,2,NA,NA
MISSION,E,05/09/2018,2018,9,5,77,1,NA,NA
MISSION,E,06/09/2018,2018,9,6,152,5,NA,NA
MISSION,E,07/09/2018,2018,9,7,343,2,NA,NA
MISSION,E,08/09/2018,2018,9,8,1085,4,13,NA
MISSION,E,09/09/2018,2018,9,9,1110,6,NA,NA
MISSION,E,10/09/2018,2018,9,10,1292,12,NA,NA
MISSION,E,11/09/2018,2018,9,11,1930,12,12,NA
MISSION,E,12/09/2018,2018,9,12,2249,20,NA,NA
MISSION,E,13/09/2018,2018,9,13,2463,36,13,NA
MISSION,E,14/09/2018,2018,9,14,2854,55,NA,NA
MISSION,E,15/09/2018,2018,9,15,2801,88,NA,NA
MISSION,E,16/09/2018,2018,9,16,3132,105,11,NA
MISSION,E,17/09/2018,2018,9,17,3327,122,NA,NA
MISSION,E,18/09/2018,2018,9,18,3127,218,10,NA
MISSION,E,19/09/2018,2018,9,19,3435,255,NA,NA
MISSION,E,20/09/2018,2018,9,20,3333,386,11,NA
MISSION,E,21/09/2018,2018,9,21,3009,470,NA,NA
MISSION,E,22/09/2018,2018,9,22,2710,478,10,NA
MISSION,E,23/09/2018,2018,9,23,2498,482,NA,NA
MISSION,E,24/09/2018,2018,9,24,2052,457,9,NA
MISSION,E,25/09/2018,2018,9,25,1598,602,NA,NA
MISSION,E,26/09/2018,2018,9,26,1239,610,11,NA
MISSION,E,27/09/2018,2018,9,27,890,488,NA,NA
MISSION,E,28/09/2018,2018,9,28,719,382,10,NA
MISSION,E,29/09/2018,2018,9,29,459,390,NA,NA
MISSION,E,30/09/2018,2018,9,30,398,340,NA,NA
MISSION,E,01/10/2018,2018,10,1,212,280,NA,NA
MISSION,E,02/10/2018,2018,10,2,149,222,NA,NA
MISSION,E,03/10/2018,2018,10,3,80,201,NA,NA
MISSION,E,04/10/2018,2018,10,4,56,149,NA,NA
MISSION,E,05/10/2018,2018,10,5,52,122,NA,NA
MISSION,E,06/10/2018,2018,10,6,19,90,NA,NA
MISSION,E,07/10/2018,2018,10,7,14,69,NA,NA
MISSION,E,01/09/2019,2019,9,1,0,0,NA,SPAWNING CHANNEL
MISSION,E,02/09/2019,2019,9,2,0,0,NA,SPAWNING CHANNEL
MISSION,E,03/09/2019,2019,9,3,0,0,NA,SPAWNING CHANNEL
MISSION,E,04/09/2019,2019,9,4,0,0,NA,SPAWNING CHANNEL
MISSION,E,05/09/2019,2019,9,5,0,0,NA,SPAWNING CHANNEL
MISSION,E,06/09/2019,2019,9,6,0,0,NA,SPAWNING CHANNEL
MISSION,E,07/09/2019,2019,9,7,0,0,NA,SPAWNING CHANNEL
MISSION,E,08/09/2019,2019,9,8,0,0,15,NA
MISSION,E,09/09/2019,2019,9,9,0,0,NA,SPAWNING CHANNEL
MISSION,E,10/09/2019,2019,9,10,77,0,NA,SPAWNING CHANNEL
MISSION,E,11/09/2019,2019,9,11,254,2,NA,SPAWNING CHANNEL
MISSION,E,12/09/2019,2019,9,12,1625,1,15,NA
MISSION,E,13/09/2019,2019,9,13,2255,3,NA,SPAWNING CHANNEL
MISSION,E,14/09/2019,2019,9,14,3040,11,13,NA
MISSION,E,15/09/2019,2019,9,15,3870,40,NA,SPAWNING CHANNEL
MISSION,E,16/09/2019,2019,9,16,4680,43,13,HIGH WATER POOR VISIBILITY
MISSION,E,17/09/2019,2019,9,17,5115,55,NA,SPAWNING CHANNEL
MISSION,E,18/09/2019,2019,9,18,5915,89,12,NA
MISSION,E,19/09/2019,2019,9,19,6800,190,NA,SPAWNING CHANNEL
MISSION,E,20/09/2019,2019,9,20,7610,275,12.5,NA
MISSION,E,21/09/2019,2019,9,21,7615,390,NA,SPAWNING CHANNEL
MISSION,E,22/09/2019,2019,9,22,7845,670,11.5,NA
MISSION,E,23/09/2019,2019,9,23,6970,800,NA,SPAWNING CHANNEL
MISSION,E,24/09/2019,2019,9,24,6625,1025,11.5,NA
MISSION,E,25/09/2019,2019,9,25,5965,1090,NA,SPAWNING CHANNEL
MISSION,E,26/09/2019,2019,9,26,5285,1090,10,VERY POOR VISIBILITY
MISSION,E,27/09/2019,2019,9,27,4885,1267,NA,SPAWNING CHANNEL
MISSION,E,28/09/2019,2019,9,28,4145,1300,10,POOR VISIBILITY
MISSION,E,29/09/2019,2019,9,29,3875,1210,NA,SPAWNING CHANNEL
MISSION,E,30/09/2019,2019,9,30,3365,1226,10,NA
MISSION,E,01/10/2019,2019,10,1,2590,1050,NA,SPAWNING CHANNEL
MISSION,E,02/10/2019,2019,10,2,2690,1110,NA,SPAWNING CHANNEL
MISSION,E,03/10/2019,2019,10,3,2285,950,8,NA
MISSION,E,04/10/2019,2019,10,4,1380,805,NA,SPAWNING CHANNEL
MISSION,E,05/10/2019,2019,10,5,1021,755,NA,SPAWNING CHANNEL
MISSION,E,06/10/2019,2019,10,6,683,500,NA,SPAWNING CHANNEL
MISSION,E,07/10/2019,2019,10,7,431,550,NA,SPAWNING CHANNEL
MISSION,E,08/10/2019,2019,10,8,273,480,NA,SPAWNING CHANNEL
